"ID";"observation_time";"temperature";"wind_speed";"pressure";"humidity"
193;"2025-10-27 19:47";5;2;944;77
194;"2025-10-27 20:48";5;2;945;78
195;"2025-10-27 21:48";4;2;945;81
196;"2025-10-27 22:48";4;1;946;82
197;"2025-10-27 23:48";3;1;946;82
198;"2025-10-27 00:48";3;1;947;84
199;"2025-10-28 01:48";3;1;948;83
200;"2025-10-28 02:49";2;1;948;83
201;"2025-10-28 03:49";2;1;948;81
202;"2025-10-28 04:49";2;0;948;77
203;"2025-10-28 05:49";2;1;949;80
204;"2025-10-28 06:49";2;1;950;82
205;"2025-10-28 07:50";4;0;951;77
206;"2025-10-28 08:50";7;0;952;75
207;"2025-10-28 10:34";10;0;952;53
208;"2025-10-28 10:45";10;0;952;53
209;"2025-10-28 11:48";11;0;952;47
210;"2025-10-28 12:50";12;1;951;46
211;"2025-10-28 13:49";13;0;950;48
213;"2025-10-28 15:32";12;0;950;55
214;"2025-10-28 16:32";10;1;950;52
216;"2025-10-28 18:06";7;1;951;59
217;"2025-10-28 19:06";6;1;951;64
218;"2025-10-28 20:06";6;1;952;66
219;"2025-10-28 21:06";6;1;952;66
220;"2025-10-28 22:07";6;1;952;65
221;"2025-10-28 23:07";6;1;952;63
222;"2025-10-28 00:07";5;1;953;66
223;"2025-10-29 01:07";5;1;953;70
224;"2025-10-29 02:07";5;1;953;72
225;"2025-10-29 03:07";5;1;953;73
226;"2025-10-29 04:08";5;1;954;74
227;"2025-10-29 05:08";5;1;954;76
228;"2025-10-29 05:08";5;1;954;76
229;"2025-10-29 06:08";5;1;954;77
230;"2025-10-29 07:08";4;1;954;78
231;"2025-10-29 08:08";6;1;954;75
232;"2025-10-29 09:08";9;0;954;67
233;"2025-10-29 10:44";12;0;954;60
234;"2025-10-29 12:02";13;1;953;59
235;"2025-10-29 14:14";14;1;951;62
236;"2025-10-29 15:14";14;3;950;59
237;"2025-10-29 16:14";14;3;950;57
238;"2025-10-29 17:14";12;2;950;66
239;"2025-10-29 18:14";11;2;950;66
240;"2025-10-29 19:14";10;2;950;66
241;"2025-10-29 20:14";10;2;950;65
242;"2025-10-29 21:14";10;2;949;65
243;"2025-10-29 22:14";11;2;949;66
244;"2025-10-29 23:14";11;2;949;67
245;"2025-10-29 00:14";11;2;949;67
246;"2025-10-30 01:14";11;2;948;68
247;"2025-10-30 02:14";11;1;948;69
248;"2025-10-30 03:14";11;1;948;71
249;"2025-10-30 04:14";11;1;948;74
250;"2025-10-30 05:14";10;1;948;77
251;"2025-10-30 06:14";10;1;948;78
252;"2025-10-30 07:14";10;0;948;79
253;"2025-10-30 08:14";11;0;948;81
254;"2025-10-30 09:14";12;0;948;76
255;"2025-10-30 10:13";14;1;948;71
256;"2025-10-30 11:13";15;1;948;66
257;"2025-10-30 12:13";15;1;950;66
258;"2025-10-30 13:13";16;1;949;65
259;"2025-10-30 14:13";15;1;949;65
260;"2025-10-30 15:13";15;1;950;65
261;"2025-10-30 15:13";15;1;950;65
262;"2025-10-30 17:13";13;0;950;76
263;"2025-10-30 17:13";13;0;950;76
264;"2025-10-30 17:13";13;0;950;76
265;"2025-10-30 20:13";10;1;953;85
266;"2025-10-30 21:13";10;0;954;85
267;"2025-10-30 22:13";10;0;954;86
268;"2025-10-30 23:13";11;1;954;83
269;"2025-10-30 00:13";11;1;954;84
270;"2025-10-31 01:13";11;1;954;83
271;"2025-10-31 02:13";11;0;954;84
272;"2025-10-31 03:13";11;1;954;85
273;"2025-10-31 04:13";11;1;954;84
274;"2025-10-31 05:13";11;1;954;86
275;"2025-10-31 06:13";11;1;954;85
276;"2025-10-31 07:13";11;0;954;85
277;"2025-10-31 07:13";11;0;954;85
278;"2025-10-31 09:13";12;0;956;82
279;"2025-10-31 10:13";13;0;956;82
280;"2025-10-31 11:12";14;0;956;76
